,label,PREDICT,height,weight,,,,,,,,
169,fat,fat,131,63,,,,,,,,
170,fat,fat,139,77,,,,,,,,
171,normal,normal,157,59,,,,,,,,
172,normal,normal,130,35,,,,,,,,
173,thin,thin,174,39,,,,,,,,
174,fat,fat,171,76,,,,,,,,
175,fat,fat,134,78,,,,,,,,
176,thin,thin,193,43,,,,,,,,
177,fat,fat,164,79,,,,,,,,
178,thin,thin,168,39,,,,,,,,
179,normal,normal,124,36,,,,,,,,
180,normal,normal,164,58,,,,,,,,
181,thin,thin,178,47,,,,,,,,
182,normal,normal,198,75,,,,,,,,
183,fat,fat,135,62,,,,,,,,
184,fat,fat,131,73,,,,,,,,
185,thin,thin,158,45,,,,,,,,
186,fat,fat,155,62,,,,,,,,
187,fat,fat,149,71,,,,,,,,
188,normal,normal,170,57,,,,,,,,
189,fat,fat,146,70,,,,,,,,
190,fat,fat,162,79,,,,,,,,
191,thin,thin,155,35,,,,,,,,
192,thin,thin,158,40,,,,,,,,
193,fat,fat,159,68,,,,,,,,
194,thin,thin,200,67,,,,,,,,
195,thin,thin,194,35,,,,,,,,
196,fat,fat,131,71,,,,,,,,
197,fat,fat,126,54,,,,,,,,
198,thin,thin,200,41,,,,,,,,
199,normal,normal,170,54,,,,,,,,
200,thin,thin,196,68,,,,,,,,
201,normal,normal,155,47,,,,,,,,
202,fat,fat,137,50,,,,,,,,
203,normal,normal,157,57,,,,,,,,
204,thin,thin,175,47,,,,,,,,
205,normal,normal,200,77,,,,,,,,
206,normal,normal,181,69,,,,,,,,
207,fat,fat,165,75,,,,,,,,
208,normal,normal,184,78,,,,,,,,
209,fat,fat,142,80,,,,,,,,
210,fat,fat,150,59,,,,,,,,
211,fat,fat,139,78,,,,,,,,
212,thin,thin,172,53,,,,,,,,
213,normal,normal,121,36,,,,,,,,
214,normal,normal,175,60,,,,,,,,
215,fat,fat,166,71,,,,,,,,
216,fat,fat,161,66,,,,,,,,
217,thin,thin,191,46,,,,,,,,
218,normal,normal,195,80,,,,,,,,
219,fat,fat,131,57,,,,,,,,
220,thin,thin,192,56,,,,,,,,
221,thin,thin,200,38,,,,,,,,
222,normal,normal,146,48,,,,,,,,
223,normal,normal,178,77,,,,,,,,
224,fat,fat,132,54,,,,,,,,
225,fat,fat,128,45,,,,,,,,
226,thin,thin,197,49,,,,,,,,
227,normal,normal,196,76,,,,,,,,
228,fat,fat,143,59,,,,,,,,
229,fat,fat,146,67,,,,,,,,
230,normal,normal,161,58,,,,,,,,
231,normal,normal,185,65,,,,,,,,
232,thin,thin,169,48,,,,,,,,
233,thin,thin,184,52,,,,,,,,
234,normal,normal,169,66,,,,,,,,
235,normal,normal,141,49,,,,,,,,
236,fat,fat,130,67,,,,,,,,
237,thin,thin,171,40,,,,,,,,
238,fat,fat,123,56,,,,,,,,
239,thin,thin,167,50,,,,,,,,
240,fat,fat,127,62,,,,,,,,
241,fat,fat,135,46,,,,,,,,
242,thin,thin,164,39,,,,,,,,
243,normal,normal,172,59,,,,,,,,
244,fat,fat,145,68,,,,,,,,
245,normal,normal,143,43,,,,,,,,
246,fat,fat,149,64,,,,,,,,
247,thin,thin,194,65,,,,,,,,
248,fat,fat,132,71,,,,,,,,
249,normal,normal,174,70,,,,,,,,
250,normal,normal,133,39,,,,,,,,
251,normal,normal,138,38,,,,,,,,
252,fat,fat,120,50,,,,,,,,
253,fat,fat,120,76,,,,,,,,
254,thin,thin,197,50,,,,,,,,
255,thin,thin,184,54,,,,,,,,
256,fat,fat,123,74,,,,,,,,
257,fat,fat,141,67,,,,,,,,
258,fat,fat,125,68,,,,,,,,
259,thin,thin,160,42,,,,,,,,
260,thin,thin,193,42,,,,,,,,
261,fat,fat,152,78,,,,,,,,
262,fat,fat,142,68,,,,,,,,
263,fat,fat,124,46,,,,,,,,
264,thin,thin,180,36,,,,,,,,
265,normal,normal,143,38,,,,,,,,
266,thin,thin,151,37,,,,,,,,
267,fat,fat,120,49,,,,,,,,
268,normal,normal,191,72,,,,,,,,
269,thin,thin,170,50,,,,,,,,
270,thin,thin,172,48,,,,,,,,
271,fat,fat,143,77,,,,,,,,
272,fat,fat,158,77,,,,,,,,
273,thin,thin,191,52,,,,,,,,
274,fat,fat,122,67,,,,,,,,
275,thin,thin,197,39,,,,,,,,
276,fat,fat,159,79,,,,,,,,
277,thin,thin,183,54,,,,,,,,
278,thin,thin,148,37,,,,,,,,
279,fat,fat,146,64,,,,,,,,
280,thin,thin,195,63,,,,,,,,
281,thin,thin,145,35,,,,,,,,
282,fat,fat,178,80,,,,,,,,
283,thin,thin,196,45,,,,,,,,
284,fat,fat,122,68,,,,,,,,
285,fat,fat,160,68,,,,,,,,
286,thin,thin,181,51,,,,,,,,
287,fat,fat,158,70,,,,,,,,
288,fat,fat,161,67,,,,,,,,
289,fat,fat,122,78,,,,,,,,
290,thin,thin,189,53,,,,,,,,
291,fat,fat,170,78,,,,,,,,
292,fat,fat,157,69,,,,,,,,
293,fat,fat,132,69,,,,,,,,
294,thin,thin,183,58,,,,,,,,
295,normal,normal,180,75,,,,,,,,
296,normal,normal,137,36,,,,,,,,
297,fat,fat,149,66,,,,,,,,
298,thin,thin,157,36,,,,,,,,
299,fat,fat,155,71,,,,,,,,
300,thin,thin,171,49,,,,,,,,
301,thin,thin,194,51,,,,,,,,
302,thin,thin,196,43,,,,,,,,
303,fat,fat,136,70,,,,,,,,
304,normal,normal,134,35,,,,,,,,
305,normal,normal,133,37,,,,,,,,
306,thin,thin,151,38,,,,,,,,
307,thin,thin,168,48,,,,,,,,
308,normal,normal,133,43,,,,,,,,
309,thin,thin,182,43,,,,,,,,
310,fat,fat,148,65,,,,,,,,
311,normal,normal,165,65,,,,,,,,
312,thin,thin,182,49,,,,,,,,
313,thin,thin,186,59,,,,,,,,
314,fat,fat,125,69,,,,,,,,
315,normal,normal,189,75,,,,,,,,
316,normal,normal,193,74,,,,,,,,
317,fat,fat,146,55,,,,,,,,
318,normal,normal,181,77,,,,,,,,
319,fat,fat,129,72,,,,,,,,
320,normal,normal,149,54,,,,,,,,
321,thin,thin,188,54,,,,,,,,
322,fat,fat,120,46,,,,,,,,
323,thin,thin,176,40,,,,,,,,
324,normal,normal,186,75,,,,,,,,
325,fat,fat,137,55,,,,,,,,
326,fat,fat,134,58,,,,,,,,
327,fat,fat,121,75,,,,,,,,
328,thin,thin,158,38,,,,,,,,
329,thin,thin,154,40,,,,,,,,
330,normal,normal,169,62,,,,,,,,
331,thin,thin,186,61,,,,,,,,
332,normal,normal,135,36,,,,,,,,
333,normal,normal,155,52,,,,,,,,
334,thin,thin,190,47,,,,,,,,
335,normal,normal,164,51,,,,,,,,
336,fat,fat,136,66,,,,,,,,
337,fat,fat,145,62,,,,,,,,
338,thin,thin,161,45,,,,,,,,
339,fat,fat,143,53,,,,,,,,
340,thin,thin,199,37,,,,,,,,
341,thin,thin,198,53,,,,,,,,
342,thin,thin,168,51,,,,,,,,
343,thin,thin,184,44,,,,,,,,
344,thin,thin,176,41,,,,,,,,
345,fat,fat,167,76,,,,,,,,
346,thin,thin,184,54,,,,,,,,
347,fat,fat,141,64,,,,,,,,
348,normal,normal,163,59,,,,,,,,
349,fat,fat,123,50,,,,,,,,
350,fat,fat,136,58,,,,,,,,
351,fat,fat,150,58,,,,,,,,
352,fat,fat,127,79,,,,,,,,
353,fat,fat,149,66,,,,,,,,
354,fat,fat,136,49,,,,,,,,
355,thin,thin,191,50,,,,,,,,
356,normal,normal,165,53,,,,,,,,
357,normal,normal,168,69,,,,,,,,
358,normal,normal,175,62,,,,,,,,
359,fat,fat,123,75,,,,,,,,
360,normal,normal,166,56,,,,,,,,
361,fat,fat,158,67,,,,,,,,
362,normal,normal,135,37,,,,,,,,
363,normal,normal,177,75,,,,,,,,
364,fat,fat,134,50,,,,,,,,
365,thin,thin,167,44,,,,,,,,
366,normal,normal,199,78,,,,,,,,
367,fat,fat,138,62,,,,,,,,
368,normal,normal,193,74,,,,,,,,
369,normal,normal,142,49,,,,,,,,
370,fat,fat,129,50,,,,,,,,
371,fat,fat,138,52,,,,,,,,
372,fat,fat,139,78,,,,,,,,
373,thin,thin,200,72,,,,,,,,
374,thin,thin,174,47,,,,,,,,
375,normal,normal,191,71,,,,,,,,
376,fat,fat,165,72,,,,,,,,
377,thin,thin,192,42,,,,,,,,
378,normal,normal,172,61,,,,,,,,
379,normal,normal,176,69,,,,,,,,
380,thin,thin,177,54,,,,,,,,
381,thin,thin,184,53,,,,,,,,
382,fat,fat,136,76,,,,,,,,
383,thin,thin,172,51,,,,,,,,
384,fat,fat,123,50,,,,,,,,
385,thin,thin,190,61,,,,,,,,
386,thin,thin,175,50,,,,,,,,
387,normal,normal,177,70,,,,,,,,
388,fat,fat,155,73,,,,,,,,
389,fat,fat,141,69,,,,,,,,
390,normal,normal,182,76,,,,,,,,
391,fat,fat,164,70,,,,,,,,
392,thin,thin,169,38,,,,,,,,
393,fat,fat,151,65,,,,,,,,
394,fat,fat,134,58,,,,,,,,
395,normal,normal,172,71,,,,,,,,
396,thin,thin,188,47,,,,,,,,
397,thin,thin,192,55,,,,,,,,
398,normal,normal,156,58,,,,,,,,
399,thin,thin,177,48,,,,,,,,
400,normal,normal,150,49,,,,,,,,
401,fat,fat,132,52,,,,,,,,
402,fat,fat,152,64,,,,,,,,
403,fat,fat,123,46,,,,,,,,
404,normal,normal,158,51,,,,,,,,
405,fat,fat,157,78,,,,,,,,
406,fat,fat,139,70,,,,,,,,
407,normal,normal,167,59,,,,,,,,
408,fat,fat,141,63,,,,,,,,
409,fat,fat,137,79,,,,,,,,
410,fat,fat,121,44,,,,,,,,
411,fat,fat,125,71,,,,,,,,
412,fat,fat,125,57,,,,,,,,
413,normal,normal,175,64,,,,,,,,
414,thin,thin,175,56,,,,,,,,
415,fat,fat,165,75,,,,,,,,
416,fat,fat,135,74,,,,,,,,
417,normal,normal,166,60,,,,,,,,
418,fat,fat,168,73,,,,,,,,
419,normal,normal,165,54,,,,,,,,
420,normal,normal,164,60,,,,,,,,
421,fat,fat,151,61,,,,,,,,
422,normal,normal,171,73,,,,,,,,
423,normal,normal,193,69,,,,,,,,
424,fat,fat,143,77,,,,,,,,
425,normal,normal,180,68,,,,,,,,
426,fat,fat,142,79,,,,,,,,
427,thin,thin,197,41,,,,,,,,
428,normal,normal,182,79,,,,,,,,
429,fat,fat,176,80,,,,,,,,
430,thin,thin,166,37,,,,,,,,
431,normal,normal,182,66,,,,,,,,
432,fat,fat,148,68,,,,,,,,
433,fat,fat,136,49,,,,,,,,
434,thin,thin,185,46,,,,,,,,
435,thin,thin,164,49,,,,,,,,
436,normal,normal,192,71,,,,,,,,
437,thin,thin,165,41,,,,,,,,
438,fat,fat,132,54,,,,,,,,
439,fat,fat,133,73,,,,,,,,
440,thin,thin,190,57,,,,,,,,
441,normal,normal,142,45,,,,,,,,
442,thin,thin,197,40,,,,,,,,
443,normal,normal,171,70,,,,,,,,
444,fat,fat,137,62,,,,,,,,
445,fat,fat,122,45,,,,,,,,
446,thin,thin,184,43,,,,,,,,
447,normal,normal,150,49,,,,,,,,
448,normal,normal,134,41,,,,,,,,
449,fat,fat,135,69,,,,,,,,
450,fat,fat,150,69,,,,,,,,
451,normal,normal,173,62,,,,,,,,
452,fat,fat,133,52,,,,,,,,
453,fat,fat,148,66,,,,,,,,
454,thin,thin,178,54,,,,,,,,
455,normal,normal,172,67,,,,,,,,
456,fat,fat,136,68,,,,,,,,
457,fat,fat,128,56,,,,,,,,
458,normal,normal,185,70,,,,,,,,
459,normal,normal,125,37,,,,,,,,
460,thin,thin,193,62,,,,,,,,
461,fat,fat,124,72,,,,,,,,
462,thin,thin,190,66,,,,,,,,
463,thin,thin,188,51,,,,,,,,
464,fat,fat,152,70,,,,,,,,
465,fat,fat,146,74,,,,,,,,
466,fat,fat,174,77,,,,,,,,
467,normal,normal,186,74,,,,,,,,
468,normal,normal,145,52,,,,,,,,
469,fat,fat,139,50,,,,,,,,
470,fat,fat,135,56,,,,,,,,
471,normal,normal,144,40,,,,,,,,
472,fat,fat,122,65,,,,,,,,
473,fat,fat,173,76,,,,,,,,
474,fat,fat,162,74,,,,,,,,
475,thin,thin,184,58,,,,,,,,
476,normal,normal,192,79,,,,,,,,
477,thin,thin,191,61,,,,,,,,
478,thin,thin,194,45,,,,,,,,
479,fat,fat,137,63,,,,,,,,
480,thin,thin,196,50,,,,,,,,
481,normal,normal,190,73,,,,,,,,
482,normal,normal,140,44,,,,,,,,
483,fat,fat,128,52,,,,,,,,
484,fat,fat,145,77,,,,,,,,
485,normal,normal,163,62,,,,,,,,
486,normal,normal,178,76,,,,,,,,
487,normal,normal,192,78,,,,,,,,
488,normal,normal,152,47,,,,,,,,
489,thin,thin,181,42,,,,,,,,
490,normal,normal,165,56,,,,,,,,
491,fat,fat,165,69,,,,,,,,
492,normal,normal,149,46,,,,,,,,
493,normal,normal,139,36,,,,,,,,
494,normal,normal,153,57,,,,,,,,
495,thin,thin,196,66,,,,,,,,
496,fat,fat,128,45,,,,,,,,
497,thin,thin,177,47,,,,,,,,
498,thin,thin,182,44,,,,,,,,
499,thin,thin,139,35,,,,,,,,
500,fat,fat,136,73,,,,,,,,
501,fat,fat,166,75,,,,,,,,
502,fat,fat,150,63,,,,,,,,
503,fat,fat,156,65,,,,,,,,
504,thin,thin,182,42,,,,,,,,
505,thin,thin,185,58,,,,,,,,
506,fat,fat,125,40,,,,,,,,
507,fat,fat,123,64,,,,,,,,
508,fat,fat,137,75,,,,,,,,
509,normal,normal,186,72,,,,,,,,
510,normal,normal,183,62,,,,,,,,
511,thin,thin,170,47,,,,,,,,
512,thin,thin,182,50,,,,,,,,
513,fat,fat,146,68,,,,,,,,
514,fat,fat,161,71,,,,,,,,
515,normal,normal,147,48,,,,,,,,
516,fat,fat,153,67,,,,,,,,
517,normal,normal,199,74,,,,,,,,
518,fat,fat,151,69,,,,,,,,
519,fat,fat,124,51,,,,,,,,
520,fat,fat,151,59,,,,,,,,
521,thin,thin,194,49,,,,,,,,
522,fat,fat,152,58,,,,,,,,
523,thin,thin,184,56,,,,,,,,
524,normal,normal,133,44,,,,,,,,
525,thin,thin,190,62,,,,,,,,
526,normal,normal,194,79,,,,,,,,
527,thin,thin,167,42,,,,,,,,
528,thin,thin,180,53,,,,,,,,
529,fat,fat,126,72,,,,,,,,
530,normal,normal,178,67,,,,,,,,
531,thin,thin,152,41,,,,,,,,
532,fat,fat,136,65,,,,,,,,
533,fat,fat,122,69,,,,,,,,
534,fat,fat,148,78,,,,,,,,
535,normal,normal,135,43,,,,,,,,
536,normal,normal,148,53,,,,,,,,
537,thin,thin,197,55,,,,,,,,
538,normal,normal,161,63,,,,,,,,
539,fat,fat,158,79,,,,,,,,
540,normal,normal,178,64,,,,,,,,
541,thin,thin,193,66,,,,,,,,
542,thin,thin,167,51,,,,,,,,
543,fat,fat,168,75,,,,,,,,
544,normal,normal,149,54,,,,,,,,
545,thin,thin,161,41,,,,,,,,
546,fat,fat,166,70,,,,,,,,
547,fat,fat,149,57,,,,,,,,
548,fat,fat,128,47,,,,,,,,
549,fat,fat,132,68,,,,,,,,
550,normal,normal,148,41,,,,,,,,
551,fat,fat,132,76,,,,,,,,
552,normal,normal,191,68,,,,,,,,
553,fat,fat,132,47,,,,,,,,
554,fat,fat,169,77,,,,,,,,
555,normal,normal,193,79,,,,,,,,
556,normal,normal,128,39,,,,,,,,
557,normal,normal,172,59,,,,,,,,
558,thin,thin,167,41,,,,,,,,
559,normal,normal,157,48,,,,,,,,
560,normal,normal,164,65,,,,,,,,
561,fat,fat,135,72,,,,,,,,
562,normal,normal,144,46,,,,,,,,
563,thin,thin,160,41,,,,,,,,
564,thin,thin,194,45,,,,,,,,
565,normal,normal,199,74,,,,,,,,
566,thin,thin,151,40,,,,,,,,
567,fat,fat,147,64,,,,,,,,
568,thin,thin,190,41,,,,,,,,
569,fat,fat,136,49,,,,,,,,
570,fat,fat,143,65,,,,,,,,
571,fat,fat,138,74,,,,,,,,
572,fat,fat,126,67,,,,,,,,
573,normal,normal,170,54,,,,,,,,
574,thin,thin,174,53,,,,,,,,
575,normal,normal,159,62,,,,,,,,
576,thin,thin,173,53,,,,,,,,
577,fat,fat,145,74,,,,,,,,
578,fat,fat,133,69,,,,,,,,
579,thin,thin,199,61,,,,,,,,
580,fat,fat,151,66,,,,,,,,
581,fat,fat,146,57,,,,,,,,
582,thin,thin,187,50,,,,,,,,
583,normal,normal,131,41,,,,,,,,
584,fat,fat,127,70,,,,,,,,
585,thin,thin,187,50,,,,,,,,
586,fat,fat,146,58,,,,,,,,
587,thin,thin,200,42,,,,,,,,
588,normal,normal,153,54,,,,,,,,
589,fat,fat,137,68,,,,,,,,
590,fat,fat,125,80,,,,,,,,
591,fat,fat,121,51,,,,,,,,
592,fat,fat,129,47,,,,,,,,
593,thin,thin,164,37,,,,,,,,
594,normal,normal,183,76,,,,,,,,
595,normal,normal,182,68,,,,,,,,
596,fat,fat,121,45,,,,,,,,
597,thin,thin,191,44,,,,,,,,
598,fat,fat,158,70,,,,,,,,
599,thin,thin,197,67,,,,,,,,
600,thin,thin,196,66,,,,,,,,
601,fat,fat,143,71,,,,,,,,
602,thin,thin,176,45,,,,,,,,
603,normal,normal,161,57,,,,,,,,
604,fat,fat,149,67,,,,,,,,
605,fat,fat,128,44,,,,,,,,
606,normal,normal,159,62,,,,,,,,
607,fat,fat,141,53,,,,,,,,
608,thin,thin,173,37,,,,,,,,
609,thin,thin,200,58,,,,,,,,
610,thin,thin,182,36,,,,,,,,
611,fat,fat,139,67,,,,,,,,
612,normal,normal,188,66,,,,,,,,
613,fat,fat,135,58,,,,,,,,
614,normal,normal,147,45,,,,,,,,
615,fat,fat,163,69,,,,,,,,
616,thin,thin,200,57,,,,,,,,
617,thin,thin,177,36,,,,,,,,
618,thin,thin,178,54,,,,,,,,
619,thin,thin,189,57,,,,,,,,
620,normal,normal,144,41,,,,,,,,
621,thin,thin,174,38,,,,,,,,
622,fat,fat,169,75,,,,,,,,
623,thin,thin,176,56,,,,,,,,
624,thin,thin,188,52,,,,,,,,
625,fat,fat,126,44,,,,,,,,
626,normal,normal,153,50,,,,,,,,
627,normal,normal,141,43,,,,,,,,
628,normal,normal,173,73,,,,,,,,
629,thin,thin,198,63,,,,,,,,
630,normal,normal,141,38,,,,,,,,
631,normal,normal,184,70,,,,,,,,
632,thin,thin,181,59,,,,,,,,
633,fat,fat,133,72,,,,,,,,
634,fat,fat,131,54,,,,,,,,
635,fat,fat,136,67,,,,,,,,
636,normal,normal,133,38,,,,,,,,
637,normal,normal,162,59,,,,,,,,
638,thin,thin,164,43,,,,,,,,
639,thin,thin,183,44,,,,,,,,
640,normal,normal,166,57,,,,,,,,
641,thin,thin,193,47,,,,,,,,
642,thin,thin,195,46,,,,,,,,
643,fat,fat,152,73,,,,,,,,
644,fat,fat,143,64,,,,,,,,
645,thin,thin,171,49,,,,,,,,
646,thin,thin,190,62,,,,,,,,
647,normal,normal,170,72,,,,,,,,
648,thin,thin,200,65,,,,,,,,
649,thin,thin,162,44,,,,,,,,
650,normal,normal,191,73,,,,,,,,
651,normal,normal,178,59,,,,,,,,
652,fat,fat,145,59,,,,,,,,
653,fat,fat,124,63,,,,,,,,
654,thin,thin,145,38,,,,,,,,
655,normal,normal,197,72,,,,,,,,
656,thin,thin,174,45,,,,,,,,
657,normal,normal,194,70,,,,,,,,
658,fat,fat,144,60,,,,,,,,
659,normal,normal,133,35,,,,,,,,
660,thin,thin,177,54,,,,,,,,
661,thin,thin,186,49,,,,,,,,
662,normal,normal,125,39,,,,,,,,
663,fat,fat,126,79,,,,,,,,
664,normal,normal,170,60,,,,,,,,
665,thin,thin,165,44,,,,,,,,
666,thin,thin,157,40,,,,,,,,
667,thin,thin,161,40,,,,,,,,
668,normal,normal,143,38,,,,,,,,
669,normal,normal,162,58,,,,,,,,
670,fat,fat,172,75,,,,,,,,
671,normal,normal,136,44,,,,,,,,
672,normal,normal,186,77,,,,,,,,
673,thin,thin,157,38,,,,,,,,
674,fat,fat,137,58,,,,,,,,
675,thin,thin,148,39,,,,,,,,
676,normal,normal,135,40,,,,,,,,
677,normal,normal,159,52,,,,,,,,
678,thin,thin,183,55,,,,,,,,
679,fat,fat,133,58,,,,,,,,
680,normal,normal,170,65,,,,,,,,
681,thin,thin,184,40,,,,,,,,
682,fat,fat,132,77,,,,,,,,
683,fat,fat,161,72,,,,,,,,
684,thin,thin,162,44,,,,,,,,
685,fat,fat,139,61,,,,,,,,
686,thin,thin,190,53,,,,,,,,
687,fat,fat,129,62,,,,,,,,
688,normal,normal,164,54,,,,,,,,
689,normal,normal,189,71,,,,,,,,
690,fat,fat,128,43,,,,,,,,
691,normal,normal,177,71,,,,,,,,
692,normal,normal,179,78,,,,,,,,
693,normal,normal,181,63,,,,,,,,
694,normal,normal,162,58,,,,,,,,
